,mse,training_time,layer0_nodes,alpha,n_layers,layer1_nodes
67,0.027302157105260204,0.4530000000013388,8,1e-06,3,8.0
68,0.03270742174410826,0.4539999999979045,8,1e-06,3,8.0
69,0.03209845770185739,0.375,8,1e-06,3,8.0
70,0.024818993763767654,0.43699999999807915,8,1e-06,3,8.0
71,0.023599153989010812,0.43800000000192085,8,1e-06,3,8.0
72,0.020948080026994328,0.43699999999807915,8,1e-06,3,8.0
73,0.02255611339701681,0.4219999999986612,8,1e-06,3,8.0
74,0.03157986309975001,0.23399999999674037,8,1e-06,3,8.0
75,0.030813728955284253,0.4530000000013388,8,1e-06,3,8.0
76,0.027854064366821956,0.4219999999986612,8,1e-06,3,8.0
77,0.02432434343131291,0.2970000000059372,8,1e-06,3,8.0
78,0.03397462891120529,0.4219999999986612,8,1e-06,3,8.0
79,0.02646530834572057,0.43699999999807915,8,1e-06,3,8.0
80,0.02404711704324191,0.31300000000192085,8,1e-06,3,8.0
81,0.030630408863832514,0.3899999999994179,8,1e-06,3,8.0
82,0.038806702746756995,0.4530000000013388,8,1e-06,3,8.0
83,0.02930803472019662,0.4379999999946449,8,1e-06,3,8.0
84,0.026782632386576733,0.4530000000013388,8,1e-06,3,8.0
85,0.024719103797139094,0.26600000000325963,8,1e-06,3,8.0
86,0.04857221753450022,0.4530000000013388,8,1e-06,3,8.0
87,0.0225895332499846,0.4529999999940628,8,1e-06,3,8.0
88,0.02369054696158225,0.4370000000053551,8,1e-06,3,8.0
89,0.0934518423339621,0.4539999999979045,8,1e-06,3,8.0
90,0.027580141220359438,0.4530000000013388,8,1e-06,3,8.0
91,0.039105546910727845,0.4530000000013388,8,1e-06,3,8.0
92,0.026645363810745042,0.4059999999954016,8,1e-06,3,8.0
93,0.02324638886568478,0.25,8,1e-06,3,8.0
94,0.03393452871331613,0.4219999999986612,8,1e-06,3,8.0
95,0.028419261883529476,0.35900000000401633,8,1e-06,3,8.0
96,0.026088082705778944,0.31300000000192085,8,1e-06,3,8.0
97,0.022119824486385015,0.4219999999986612,8,1e-06,3,8.0
98,0.028356167880766562,0.4530000000013388,8,1e-06,3,8.0
99,0.030168282820761463,0.43699999999807915,8,1e-06,3,8.0
